ID_Matricula,Cod_Servico_Academico,Score_Final
2026001,ADS101,9.1
2026001,ADS102,8.4
2026001,ADS105,8.9
2026002,ADS101,7.3
2026002,ADS103,6.8
2026002,ADS104,7.0
2026003,ADS101,5.9
2026003,ADS102,7.5
2026003,ADS106,6.1
2026004,ADS103,4.7
2026004,ADS104,6.2
2026004,ADS105,5.8
2026005,ADS102,9.5
2026005,ADS104,8.1
2026005,ADS106,8.7
2026006,ADS101,6.4
2026006,ADS103,5.6
2026006,ADS105,6.9
2025010,ADS101,6.4
2025010,ADS102,7.1
2025011,ADS103,8.8
2025011,ADS104,7.9
2025012,ADS105,5.5
2025012,ADS106,6.3